#SampleID	SourceSink	Env
gut_0282ZU_metaphlan_output	source	gut
gut_0477QJ_metaphlan_output	source	gut
gut_0782JV_metaphlan_output	source	gut
gut_1124PD_metaphlan_output	source	gut
gut_1421JE_metaphlan_output	source	gut
gut_1469LP_metaphlan_output	source	gut
gut_1574UD_metaphlan_output	source	gut
gut_1680RO_metaphlan_output	source	gut
gut_1733CQ_metaphlan_output	source	gut
gut_1886QS_metaphlan_output	source	gut
gut_1925KA_metaphlan_output	source	gut
gut_2025XZ_metaphlan_output	source	gut
gut_2221WA_metaphlan_output	source	gut
gut_2360TL_metaphlan_output	source	gut
gut_2569VO_metaphlan_output	source	gut
gut_2874RA_metaphlan_output	source	gut
gut_3219XI_metaphlan_output	source	gut
gut_3775ZT_metaphlan_output	source	gut
gut_3825KV_metaphlan_output	source	gut
gut_3851QX_metaphlan_output	source	gut
soil_ERR3761401_metaphlan_output	source	soil
soil_ERR3761402_metaphlan_output	source	soil
soil_ERR3761403_metaphlan_output	source	soil
soil_ERR3761404_metaphlan_output	source	soil
soil_ERR3761405_metaphlan_output	source	soil
soilERR3761406_metaphlan_output	source	soil
paleofeces_SRR12557704_metaphlan_output	sink	paleofeces
paleofeces_SRR12557705_metaphlan_output	sink	paleofeces
paleofeces_SRR12557706_metaphlan_output	sink	paleofeces
paleofeces_SRR12557707_metaphlan_output	sink	paleofeces
paleofeces_SRR12557711_metaphlan_output	sink	paleofeces
paleofeces_SRR12557722_metaphlan_output	sink	paleofeces
paleofeces_SRR12557733_metaphlan_output	sink	paleofeces
paleofeces_SRR12557734_metaphlan_output	sink	paleofeces

